latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month
37.99035,23.73015,Entire home/apt,131,1,1,0.01
37.96496762,23.72109432,Entire home/apt,129,1,1,0.05
37.97321,23.73411,Entire home/apt,189,1,1,0.01
37.95675,23.72999,Entire home/apt,110,1,1,0.15
37.97804,23.72106,Entire home/apt,207,1,1,0.03
37.97156,23.72896,Entire home/apt,140,1,1,0.01
37.96517601,23.72279055,Entire home/apt,138,1,1,0.02
37.97656,23.72992,Entire home/apt,97,1,1,0.59
37.96198,23.72835,Entire home/apt,56,1,1,0.19
37.96395,23.72506,Entire home/apt,194,1,1,0.03
37.96395,23.72506,Entire home/apt,174,1,1,0.03
37.96395,23.72506,Entire home/apt,137,1,1,0.04
37.97813,23.73832,Entire home/apt,350,1,1,0.02
37.96273,23.72804,Entire home/apt,54,1,1,1
37.97663,23.7308,Entire home/apt,129,1,1,0.03
37.980228,23.723442,Entire home/apt,104,1,1,0.03
37.97317,23.73461,Entire home/apt,95,1,1,0.04
37.96301,23.72852,Entire home/apt,52,1,1,0.02
37.96697,23.73009,Entire home/apt,43,1,1,0.02
37.96697,23.73009,Entire home/apt,53,1,1,1
37.96492635,23.72291627,Entire home/apt,77,1,1,0.05
37.9672,23.73115,Entire home/apt,101,1,1,0.46
37.964361,23.721889,Entire home/apt,154,1,1,0.02
37.98123,23.73162,Entire home/apt,90,1,1,0.03
37.9769,23.73023,Entire home/apt,95,1,1,0.05
37.97147,23.74186,Entire home/apt,77,1,1,0.04
37.96632,23.73108,Entire home/apt,52,1,1,0.02
37.97551727,23.72875595,Entire home/apt,100,1,1,0.02
37.97551727,23.72875595,Entire home/apt,146,1,1,0.13
37.97551727,23.72875595,Entire home/apt,107,1,1,0.04
37.99455,23.74811,Entire home/apt,89,1,1,0.15
37.97625,23.72503,Entire home/apt,314,1,1,0.12
37.96768,23.73585,Entire home/apt,441,1,1,0.06
37.967678,23.735849,Entire home/apt,345,1,1,0.06
37.97622,23.72507,Entire home/apt,239,1,1,0.02
37.97764,23.72654,Entire home/apt,160,1,1,0.28
37.97764,23.72654,Entire home/apt,110,1,1,0.04
37.97677612,23.73008156,Entire home/apt,176,1,1,0.19
37.9715271,23.73163414,Entire home/apt,66,1,1,0.07
37.97253,23.73383,Entire home/apt,118,1,1,0.03
